"""As Far As You Know""",Gretchen Wilson,"As far as you know I've gotten over you And I bet it makes it easy, yeah, bet you're so relieved When you let me go, I made a clean goodbye Like it didn't even phase me, no, I didn't even cry  But it's not all about you, no I've got a face to save too  But when I get home, all alone I get to thinking 'bout what you did And I come up swingin'  I burn all your letters Tear off the linen Break all the mirrors As if you were in 'em and stop  Take a breath Take a breath, take control Oh, 'cause you know me I'm good to go  As far as you know Everything's a okay 'Cause all I let you see is The smile that I fake  Nobody knows How much I hurt inside 'Cause I keep it in the closet, yeah And I hold my head up high  Won't need my pride that I lose, no Lay down and die, I refuse, oh  Yeah, when I get home, all alone I get to thinking 'bout what you did And I come on swingin'  I burn all your letters Tear off the linen Break all the mirrors As if you were in 'em and stop  Take a breath Take a breath, take control Oh, 'cause you know me I'm good to go  As far as you know I'm missing you tonight As far as you know In your twisted little mind  'Cause when I get home, all alone I get to thinkin' 'bout what you did And I, come on swingin'  And I burn all your letters Tear off the linen Break all the mirrors As if you were in 'em  Claw out the walls Rip out the walls I got a pistol, I'm aiming to fire Then I stop"
"""I'm Never""",Aaradhna,"[VERSE 1:] Close my eyes Everytime you hold me tight Don't let go, no Just hold me close It feels so good, things that you do Boy I am..so in love with you And I wanna let you know that I'm never, I'm never  [CHORUS:] I'm never gonna say goodbye I'm never gonna leave your side I'm never, no baby you're with me I'm never I'm never  When you're not 'round I can't go on, I feel so down (whoa) Lose control Hurts my soul It feels so good the things that you do That's why I am so in love with you And I wanna let you know that I'm never I'm never  [CHORUS:] I'm never gonna say goodbye I'm never gonna leave your side I'm never, no baby you're with me I'm never I'm never (ooh yeah) (oh oh oh oh whoa-oh whoa-oh)  [BRIDGE:] Because you put me first no other man has put me first before Because you cared for me no other man has cared like this before Because you treat me right no other man could ever treat me like you do Everything you do feels good that's why I'm gon' keep lovin' you (you) Loving you Gon' keep lovin' you  [CHORUS: Repeat til fade] I'm never gonna say goodbye (baby) I'm (I won't) never (I won't let go) gonna leave your side I'm never, no baby (you're with me yeah) you're with me I'm never I'm never"
"""At A Greyhound Station, Desperate""",Gregor Barnett,"Your heart's been beating through your chest A war your body hasn't declared yet It's been in conflict a long time We just don't call it what it is You dyed your hair and you slicked it back Always trying to get yourself back on the right track Moving every couple years A new city, a new state  But you always find your way back here Between a rock and a hard place  Sunday dinner at your parents' house You were all hyped up on some unknown kind of speed Your father gave his old lecture You fought defensively You ran out of patience and you asked me for a ride Grabbed a duffle bag and raced off into the night Sayin', ""This time it's gonna be different, man I got connections up in Michigan  I just gotta find a way outta here Before shit gets weird""  At a Greyhound Station Waiting on a way out of town Desperation knows no bounds  On the drive out you were silent You drank a tall boy from a brown paper bag We listened to the game on the radio And stared endlessly out the window We weren't bound by surname or blood But life found a way of making brothers out of us ""Thanks for the ride, see you soon my friend"" Yeah, that was the last I ever heard from him  And then I watched you disappear In a rearview mirror  At a Greyhound Station Waiting on a way out of town Desperation knows no bounds  At a Greyhound Station Waiting on a way out of town Desperation knows no bounds"
"""Whiskey And My Bible""",Gretchen Wilson,"If I can't even trust myself How can I trust someone else? That's what I ask this broken face in the mirror  I'm out of love and out of luck Beaten down, and beaten up Tryin' to make these bloodshot eyes a little clearer I can feel salvation drawing nearer  God is great, and, man, that's good enough So I'll just keep on fighting for survival I got all I need To get down on my knees And have myself a lonely-soul revival Trusting in my whiskey and my bible  I've tried damn near everything Put every kind of poison in my veins It's crazy what you'll do To keep yourself from feeling  So I take a drink and turn the page Feel the burn of a sinner saved Face the pain it takes to find the healing I guess we all need something to believe in  God is great, and, man, that's good enough So I'll just keep on fighting for survival I got all I need To get down on my knees And have myself a lonely-soul revival Trusting in my whiskey and my bible  So the night when I lay down to sleep I pray the Lord my soul to keep  God is great, and, man, that's good enough So I'll just keep on fighting for survival I got all I need To get down on my knees And have myself a lonely-soul revival Trusting in my whiskey and my bible Yeah, I'm trusting in my whiskey and my bible"
"""Lelah""",ADA Band,"Pertengkaran kau dan aku meledakkan emosiku Caci maki memburamkan cinta dan menyisakan luka Tak bisa saling mengalah bila emosi yang bicara Hanya menambah luka di hati dan menjauhkan kita  Lelah sudah jiwa ini, tak ada lagi rasa cinta Pergilah dari aku, tutup semua kisah kita  Semua karna perbedaan menjadi sebuah masalah Yang harusnya bisa menyatukan, bukan memisahkan kita  Lelah sudah jiwa ini, tak ada lagi rasa cinta Pergilah dari aku, tutup semua kisah kita  Memang ku akui ku tak sempurna Baik buruk pasti ada Tak perlu memaksa menjadikan diriku Seperti apa yang kau inginkan  Lelah sudah jiwa ini, tak ada lagi rasa cinta Pergilah dari aku, tutup semua kisah kita Lelah sudah jiwa ini, tak ada lagi rasa cinta Pergilah dari aku, tutup semua kisah kita  Bukankah perbedaan yang menyatukan kita"
"""Percuma Bilang Cinta""",ADA Band,"Bagai pungguk rindukan bulan Aku mengejar cintamu Setiap malam sebut namamu Dalam doa dan harapku  Memendam rasa cinta itu buat geram Mengungkapnya lagi malah buatku pusing Mengendap-endap jangan sampai ketahuan Mencari-cari kabar selalu tentang dirimu  Percuma bilang cinta Bila tak perjuangkan cintamu Percuma bilang cinta Bila malu ucapkan cintamu  Mengapa bibir ini bisu (bibirku membisu) Bila bertemu denganmu (bertemu denganmu) Keringat dingin tubuh ini, takut kau acuhkan aku  Memendam rasa cinta itu buat geram Mengungkapnya lagi malah buatku pusing (buatku pusing) Mengendap-endap jangan sampai ketahuan (ketahuan) Mencari-cari kabar selalu tentang dirimu  Percuma bilang cinta bila tak perjuangkan cintamu Percuma bilang cinta bila malu ucapkan cintamu  Mana buktimu, mana janjimu Jangan jadi pecundang sejati  Percuma bilang cinta bila tak perjuangkan cintamu Percuma bilang cinta bila malu ucapkan cintamu  Percuma bilang cinta bila tak perjuangkan cintamu Percuma bilang cinta bila malu ucapkan cintamu Percuma bilang cinta bila tak perjuangkan cintamu Percuma bilang cinta bila malu ucapkan cintamu"
"""Emo This""",Fingertight,"There are people who don't belong here. You can tell 'cause they keep to themselves. Crack one open and see what's inside of their heads, And find out what true beauty is.  And don't go around her now. 'Cause we can't let this girl down. We don't always think so clearly. She lets others do for herself.  Crack her open.  There are places that she goes With faces that she knows, Tells her that she's wonderful. Crack one open and see what's inside of her head, And find out what truly began your life here.  And don't go around her now. 'Cause we can't let this girl down. We don't always think so clearly. She puts others first than herself.  Run away. Run away. Run away. Run away.  And don't go around her now. 'Cause we can't let this girl down. We don't always think so clearly. We don't always think so clear. And don't go around her. And don't go around her. And don't go around her. And don't go around her."
"""Extraordinary Day""",Delta Goodrem,"Change, like secrets in the wind I hear the whispers madame butterfly Spread your precious wings I watch you fly away  I know, I can't change fate of that July the 8th and it was never the same I know, this stage is frightening but its oh so enlightening is this how karma goes  Who would have thought when chance came calling that this would be my defining story and who Could have guessed on my life's journey I could find my way through this extraordinary day  Nothing is isolated  I know, I can't change fate of that July the 8th and it was never the same I know, this stage is frightening but its oh so enlightening is this how karma goes  Extraordinary day This would be my defining story And who could have guessed on my life's journey I could find my way through this Extraordinary day"
"""Brand New Kind Of Love""",Bobby Goldsboro,If I could love you If you would let me love you We'd have a brand new kind of love  We'd take it easy We'd take it nice and easy A light and breezy kind of love  And the lovers that you've known before You'd never want to see 'em any more And this feeling that I feel for you Maybe you could get that feeling to  If I could hold you If you would let me hold you My arms would enfold you like a glove  It would be special It would be something special We'd have a brand new kind of love  If I could love you If you would let me love you We'd have a brand new kind of love  We'd take it easy We'd take it nice and easy A light and breezy kind of love  Let me take you to my world of love The kind of lovin' you've been dreamin' of And you'll find when I open the door You've never really been in love before  If I could love you If I could love you We'd have a brand new kind of love A brand new kind of love A brand new kind of love A brand new kind of love
"""Semenit Waktu""",ADA Band,Dipelukanku terakhir kali Kau katakan cinta Putih dan suci engkau persembahkan Seperti janji manis  Bila malam menjelang Ingin ku hitung lagi Segala jumlah bintang Yang bersinar di wajahmu  Akhirnya semua telah berakhir Bagai mimpi buruk Menerjang ruang batin hidupku Tak berperasaan  Kudiam tertegun Menatap pilu dirimu Yang begitu indah  Dunia serasa mati Hilang semangat hidup Aku rindu padamu Aku teramat sayang Jika ini takdirku Bolehkah kuberharap Semenit waktu ingin Kubalas kata cinta  Harusnya kuberlari Mengejar kepergianmu Takkan terulang Kisah dua anak manusia  Dunia serasa mati Hilang semangat hidup Aku rindu padamu Aku teramat sayang Jika ini takdirku Bolehkah kuberharap Semenit waktu ingin Kubalas kata cinta  Dipelukanmu terakhir kali
"""Let Me Love You For Tonight""",Bobby Goldsboro,I could never find the words to say Just how much you mean to me And for me to say I love you Would not be fair to you or me Though I'm leaving with the morning sun These precious days we won't forget And when I kiss you for the last time We will part with no regrets  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in  This could never last forever And there's no reason to pretend Though we had a good thing going We both knew it had to end Let us make no foolish promises Just let me love you for a while And when the sun comes up tomorrow I will leave you with a smile  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in  There are many things that I could say But they might only cause you pain And all our days were built with sunshine And the light might bring the rain Let me love you like I know I can And if you give yourself to me In the shadows of this evening We will build sweet memories  Let me love you for tonight And when I leave you in the morning I will leave no strings behind to tie you down And I will keep you in my mind I'll think of you from time to time And who knows I might pass this way again And who knows maybe you might take me in
"""Wait""",Addison Road,"Why do you choose to act this way?; Why do you choose to play this game? One day you'll wake up and find that we're all gone Life could be so much more for you; Love and laughter it's all true If smiles are worth a million words just show me one  And I will love, and I will wait for you We're getting nowhere, stop messing around and just be you Yeah yeah, yeah yeah  You're not easy in my life but neither am I; We've clashed for way too long The truth is hitting home But I will love you when it's hard If this is how life goes; I'm ready for our show"
"""Let's Hurt Tonight (BUNT. Remix)""",OneRepublic,"When, when we came home Worn to the bones I told myself, ""This could get rough"" And when, when I was off, which happened a lot You came to me and said, ""That's enough""  Oh, I know that this love is pain But we can't cut it from out these veins, no  So I'll hit the lights and you lock the doors We ain't leaving this room 'til we both feel more Don't walk away, don't roll your eyes They say love is pain, well darling, let's hurt tonight Ah-ooh-ooh, ah-ooh-ooh  When, when you came home Worn to the bones I told myself, ""This could get rough""  Oh, I know you're feeling insane Tell me something that I can explain, oh  I'll hit the lights and you lock the doors Tell me all of the things that you couldn't before Don't walk away, don't roll your eyes They say love is pain, well darling, let's hurt tonight If this love is pain, then darling, let's hurt, oh tonight Ah-ooh-ooh, ah-ooh-ooh  So you hit the lights and I'll lock the doors Let's say all of the things that we couldn't before I won't walk away, won't roll my eyes They say love is pain, well darling, let's hurt tonight If this love is pain, then honey let's love tonight"
"""Pace""",Arizona Zervas,"Yeah, yeah, yeah, yeah Skrr I sip it light, mhm Yeah, yeah, woah, woah  I'm sippin' light but I'm heavy weight I'm takin' shots I got steady aim Sometimes I think I should slow down But you know I love how the Henny tastes New boots yeah they all black My crew yeah they all flat She let me hit on the first night Tell me why I should call back? Gettin' faded in the function I stay away from the fuck shit Money, future moves, plans Only thing that we discussin' I got a lot on my mind now I hit the packet just to wind down Just had a party at my house I really think it's my time now  Cause I need a bag on my waist, yeah I keep my cash in the bank, yeah Stack now, ball, later, later, yeah I gotta keep up the pace, yeah That girl a ten in the face, yeah But I don't got time for the chase, nah I'ma save that shit for later, later, yeah I gotta keep up the pace, yeah  Pace, pace, yeah I gotta keep up the pace P-p-p-pace, pace, yeah I gotta keep up the pace P-p-p-pace, pace, yeah I gotta keep up the pace Stack now, ball, later, later, yeah I gotta keep up the pace, yeah  Told my momma I'm the one (one) I know the commas will come (come) I ain't with the drama, drama, no I gotta focus on funds (funds) I got a house in L.A (L.A) I got an ounce of the shade (shade) I got a shorty who look like a model Might take her blouse off for the fame, yeah I'm still tryna get a check (check) 80k is not enough I got a rack on my chest (chest) I could spend that at the club But I just invest in myself (myself) I'm still spreadin' the wealth (wealth) I split that shit with my homies from home And put ferragamo on my belt, yeah  Cause I need a bag on my waist, yeah I keep my cash in the bank, yeah Stack now, ball, later, later, yeah I gotta keep up the pace, yeah That girl a ten in the face, yeah But I don't got time for the chase, nah I'ma save that shit for later, later, yeah I gotta keep up the pace, yeah  Pace, pace, yeah I gotta keep up the pace P-p-p-pace, pace, yeah I gotta keep up the pace P-p-p-pace, pace, yeah I gotta keep up the pace Stack now, ball, later, later, yeah I gotta keep up the pace, yeah"
"""If I Lose Myself""",OneRepublic,"I stared up at the sun Thought of all of the people, places and things I've loved I stared up just to see With all of the faces, you were the one next to me  You can feel the light start to tremble Washing what you know out to sea, yeah You can see your life out of the window tonight  If I lose myself tonight It'll be by your side I lose myself tonight Whoa, yeah, yeah If I lose myself tonight It'll be you and I Lose myself tonight  I woke up with the sun Thought of all of the people, places and things I've loved I woke up just to see With all of the faces, you were the one next to me  You can feel the light start to tremble Washing what you know out to sea, yeah You can see your life out of the window tonight  If I lose myself tonight It'll be by your side I lose myself tonight Whoa, yeah, yeah If I lose myself tonight It'll be you and I Lose myself tonight, ooh  Take us down and we keep trying Forty thousand feet, keep flying Take us down and we keep trying Forty thousand feet, keep flying Take us down and we keep trying Forty thousand feet, keep flying Take us down and we keep trying Forty thousand feet, keep flying (Ooh, myself) I lose myself tonight Ooh-ooh-ooh Ooh-ooh"
"""I'd Love To Be Your Last""",Gretchen Wilson,If I had it my way This would be the first time that I made love And I would be the first girl that your hands touched  We've both done our share of living Taking chances we've been given I've never been too big on looking back  I don't care if I'm your first love But I'd love to be your last  If I could do it over I'd have waited for this moment So I could give my heart to you unbroken  But if our mistakes brought us together Does it really matter whether We were saints or sinners in the past?  I don't care if I'm your first love But I'd love to be your last  All I know is what I see when I look at you And all I see is what I'm feeling down inside And all I'm feeling is the feeling that I finally got it right  When I wake up tomorrow I'm going to wrap my arms around you Thank my lucky stars I found you  'Cause I know your heart has so much more than Anyone has touched before and Nothing matters more to me than that  I don't care if I'm your first love But I'd love to be your last I don't care if I'm your first love But I'd love to be your last
"""Bleeding Heart""",Freedom Call,"Here I'm standing In the pouring rain All alone I feel a silent pain The dust of love it made me blind No way to see Can you see my bleeding heart Can you heal my heart  We shared a life, a world of lies You are gone, no reason to cry  When I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart I believe  Once beyond reality By fascination blinded eyes I never saw Your burning lies, are gone it's over now My memories are haunting me A tragedy, a misery  One day you will learn to see The love of life, how it is meant to be  When I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart I believe  So I'm flying free forever And I'll try again Forever, and ever Again  I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart"
"""Merlin - Legend Of The Past""",Freedom Call,"From the isle of Avalon a virgin came Oh, she sealed his fate forever He faced the hand of destiny, she was alone Oh, she sealed his fate forever  Run for your life The empress is here, torture and fear Run for your life The beast has appeared, the end is near  Merlin, son of a fallen angel Merlin, a legend of the past Foretold the story of two dragons Fighting for the land His name will live forever  He was too wise he couldn't see, he felt for lies Oh, the legends gone forever Then he was cursed no turning back, no way out Oh, the legends gone forever  Run for your life The empress is here, torture and fear Run for your life The beast has appeared, the end is near  Merlin, son of a fallen angel Merlin, a legend of the past Foretold the story of two dragons Fighting for the land His name will live forever  Teacher of kings and wizard of (his) time hes magic A genius man he was one of a kind Betrayed and deceived by the love of (his) life - so tragic She was casting a spell and controlled his mind  Run for your life The empress is here, torture and fear Run for your life The beast has appeared, the end is near  Merlin, son of a fallen angel Merlin, a legend of the past Foretold the story of two dragons Fighting for the land His name will live forever"
"""Touch""",Delta Goodrem,"This is the home where, where my mother told me anything can happen These are the pages where I kept my secrets underneath my bed In a heart shaped necklace that my father bought me Then there's the park bench where I gave my first kiss away  This is the bedroom that I painted purple when I first left home There is the journey that my car would take me to my days at work And the mountain I climbed after I fought the rain This is the goodbye that I gave my best friend for the very last time  I said to myself, said to my lover Everything feels your touch Everything good, reaches another You never can feel too much Ai, ai, when a butterfly moves it’s wings There’s a storm happening somewhere  This is the feeling that only you can give me and it gives me chills This is the last time that I said I need you but I always will There's an old song that when it comes on the radio I've gotta pull over because it makes me feel like I'm home, I'm home, home  I said to myself, said to my lover Everything feels your touch Everything good, reaches another You never can feel too much Ai, ai, when a butterfly moves it’s wings There’s a storm happening somewhere  Yes it does, feel your touch, yes it does, feel your touch, yes it does Do you really have to ask me  And your love, and your love feels your touch and your love feels your touch Did you hear it from somebody  I said to myself, said to my lover Everything feels your touch Everything good, reaches another You never can feel too much"
