song,artist,lyrics
"""I Love You""",Aaradhna,"[Aaradhna Breaks Into Beatboxing]  [Verse 1:] Ain't No Need To Worry, Coz I Still Love You Baby, Your Tha Only One For Me, Ain't Nobody Else I Need, Don't You Ever Leave, Coz There's Alotta Lovin..I Owe You You Just Gotta Know That Yeah That I Love You  [Chorus:] I Love You  [Verse 2:] I Know I Haven't Been Spendin Alotta Time With Ya, I Been Busy Now I'm Free Here To Please Ya, We Were Apart But Thats Tha Past, All We Gotta Know Is We're Together Now, You Got My Hearts Missing Piece, Connect It Together And You'll Find Love, You Just Gotta Know That Yeah, That I Love You  [Chorus:] I Love You  [Verse 3:] Your Tha Only One For Me, There Ain't No One Else I Need No, I Will Give My Love To Thee, Together We Will Be For Eternity, I Promise You I'll Never Leave, My Love For You Is Far Too Deep, Without You I Wouldn't Be Able To Breathe, So I'm Tellin You Now That This Love Is Foreal..  [Chorus:] I Love You"
"""I Who Have Nothing""",Brian May & Kerry Ellis,"I, I who have nothing I, I who have no-one Adore you and want you so  I'm just a no-one with nothing to give you, But oh  I love you  Io, uno dei tanti Io, che non ho niente Ti chiedo, Amore mio Ti dedicare la tua Vita solo a me I love you Per sempre I love you I love you I love you  He'll, he'll buy you diamonds Bright sparkling diamonds But believe me, hear what I say That he can give you the world But he'll never love you the way I love you  Io, uno dei tanti Io, che non ho niente Ti iuro che nostra Amore Potra cambiarla nostra Vita E noi vedra' I love you I love you I love you I love you I love you I love you  He can take you any place you want To fancy clubs and restaurants But I can only watch you with My nose pressed up against the window pane  I, I who have nothing I, I who have no-one  Must watch you go dancing by Wrapped in the arms of somebody else When darling, 'tis I Who loves you I love you"
"""I'd Love To Be Your Last""",Gretchen Wilson,If I had it my way This would be the first time that I made love And I would be the first girl that your hands touched  We've both done our share of living Taking chances we've been given I've never been too big on looking back  I don't care if I'm your first love But I'd love to be your last  If I could do it over I'd have waited for this moment So I could give my heart to you unbroken  But if our mistakes brought us together Does it really matter whether We were saints or sinners in the past?  I don't care if I'm your first love But I'd love to be your last  All I know is what I see when I look at you And all I see is what I'm feeling down inside And all I'm feeling is the feeling that I finally got it right  When I wake up tomorrow I'm going to wrap my arms around you Thank my lucky stars I found you  'Cause I know your heart has so much more than Anyone has touched before and Nothing matters more to me than that  I don't care if I'm your first love But I'd love to be your last I don't care if I'm your first love But I'd love to be your last
"""Fire Burning Love""",Aaradhna,"If you ask me What our loves all about I would say our love is like a flower With the petals pulled out  No one to try to put us down baby Because I love you too much and You love me too but Theres just some problems that we gotta work through time  Theres not much time We gotta get it together today Because tomorrow man, you never know  Can we get it back like Get back the fire Burning love again  Can we get it back like Get back the fire Burning love again  Bittersweet memories Of how we used to be I know right now were still together But the fire and passion is gone  Its killing me Every day Because our love aint the same And every night I pray please God dont take my baby away  Oh time Theres not much time We gotta get it together today Because tomorrow man, you never know  Can we get it back like Get back the fire Burning love again  Can we get it back like Get back the fire Burning love again  You used to hold me real close And I didnt let go of you, just held on tight But nowadays it feels like slowly Your love is fading far away  You used to hold me real close And I didnt let go of you, just held on tight But nowadays it feels like slowly Your love is fading far away  Fire burning love"
"""One True Love""",Steve Aoki & Slushii,"I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love  Let me see you bring it right back to the old school  To the- To the- To the old school  I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love I wanna be your one true love  Let me see you bring it right back to the old school  To the- Back Back, back, back, back To the old school Let me see you bring it right back  Ah-hoo-hoo-hoo-hoo"
"""Love Runs Out""",OneRepublic,"I'll be your light, your match, your burning sun I'll be the bright, in black that's makin' you run And we'll feel alright, and we'll feel alright 'Cause we'll work it out, yeah, we'll work it out  I'll be doin' this, if you had a doubt 'Til the love runs out, 'til the love runs out  I'll be your ghost, your game, your stadium I'll be your fifty-thousand clapping like one And I feel alright, and I feel alright 'Cause I worked it out, yeah, I worked it out  I'll be doin' this, if you had a doubt 'Til the love runs out, 'til the love runs out  I got my mind made up, man, I can't let go I'm killing every second 'til it saves my soul (Ooh) I'll be running, (Ooh) I'll be running 'Til the love runs out, 'til the love runs out And we'll start a fire, and we'll shut it down 'Til the love runs out, 'til the love runs out  There's a maniac out in front of me Got an angel on my shoulder, and Mestopheles But mama raised me good, mama raised me right Mama said, ""Do what you want, say prayers at night,"" And I'm saying them, 'cause I'm so devout 'Til the love runs out, 'til the love runs out, yeah  I got my mind made up, man, I can't let go I'm killing every second 'til it saves my soul (Ooh) I'll be running, (Ooh) I'll be running 'Til the love runs out, 'til the love runs out And we'll start a fire, and we'll shut it down 'Til the love runs out, 'til the love runs out  Oh, we all want the same thing Oh, we all run for something Run for God, for fate For love, for hate For gold, for rust For diamonds, for dust  I'll be your light, your match, your burning sun I'll be the bright, in black that's makin' you run  I got my mind made up, man, I can't let go I'm killing every second 'til it saves my soul (Ooh) I'll be running, (Ooh) I'll be running 'Til the love runs out, 'til the love runs out And we'll start a fire, and we'll shut it down 'Til the love runs out, 'til the love runs out  I'll be your light, your match, your burning sun I'll be the bright, in black that's makin' you run And we'll feel alright, and we'll feel alright 'Cause we'll work it out, yes, we'll work it out And we'll start a fire, and we'll shut it down 'Til the love runs out, 'til the love runs out 'Til the love runs out"
"""Don't Need Much""",Marie Digby,"Sit and watch Sit and watch city lights Come alive and stay until the sunrise And now you know everything there is to me Talk and talk Talk about future Maybe we can be like this forever Live is good, it won't always be this way  But we don't need that much to be happy Love is always free, it's here with you and me We don't need that much to be happy No matter where we go, our love will always grow Our love will always grow  Side by side we stood by the ocean We said our vows, our oath of devotion From here on out it's gonna be you and me And everything, everything that we know Could disappear depending how the wind blows But that's OK, we are not what we own  But we don't need that much to be happy Love is always free, it's here with you and me We don't need that much to be happy No matter where we go, our love will always grow  We don't need that much to be happy Love is always free, it's here with you and me We don't need that much to be happy No matter where we go, our love will always grow Our love will always grow Our love will always grow Our love will always grow"
"""Not Love""",Haley Smalls,"A part of me is jaded A part of me is waiting and still praying Yeah, the way I used to love you The way I used to trust you has faded  And tell me how could you let your ego control you? Used to be my best friend but now I don't know you How you sleep in the night, do I still cross your mind? All these years have gone by, still you're stuck in your pride  Still, I been good on my own Wonder if you're proud on the low Or maybe you wishing that I fall without you I just wanna know how you sunk so low Guess you never loved me, 'cause that's not love Maybe there's just no love inside you  Tell me, is it worth all that you're fighting? Is it worth the wrongs you ain't righting? I feel it in my heart when I'm smiling I try to be alone when I'm crying  Love me but you choose pride And I'll never understand why Love me but it don't show Everything I been through, you don't know  You just keep throwing the time away Till no more time is left to find You keep your love away Till no more time is left to find  Still, I been good on my own Wonder if you're proud on the low Or maybe you wishing that I fall without you I just wanna know how you sunk so low Guess you never loved me, 'cause that's not love Maybe there's just no love inside you  Still, I been good on my own Wonder if you're proud on the low Or maybe you wishing that I fall without you I just wanna know how you sunk so low Guess you never loved me, 'cause that's not love Maybe there's just no love inside you"
"""A.I.""",OneRepublic,"[Ryan Tedder:] 'Member when we met? We fell in love on a Sunday Yeah I'll never forget The way that you spelled my name It took me a year To find a new attraction My hope and my fear Is human interaction  Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence  Artificial Artificial  [Peter Gabriel:] Remember when we met? I got obsessed on a Monday And I'll never forget I felt such a cliche I'm wanting to be there Dreaming of your soft skin With no emotion You can really make my head spin  [Ryan Tedder & Peter Gabriel:] Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence Yeah I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence  [Ryan Tedder:] Artificial Artificial  I just want my love automatic If artificial love makes sense I just want your love, I'm an addict Artificial intelligence  [Peter Gabriel:] It's all too real Love the way you love me Artificial intelligence Way you love me Love the way you love me It's so clear You make everything inside me feel Just automatic hurt Bring me back tonight 'Cause you're intelligent, so real So real"
"""Bleeding Heart""",Freedom Call,"Here I'm standing In the pouring rain All alone I feel a silent pain The dust of love it made me blind No way to see Can you see my bleeding heart Can you heal my heart  We shared a life, a world of lies You are gone, no reason to cry  When I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart I believe  Once beyond reality By fascination blinded eyes I never saw Your burning lies, are gone it's over now My memories are haunting me A tragedy, a misery  One day you will learn to see The love of life, how it is meant to be  When I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart I believe  So I'm flying free forever And I'll try again Forever, and ever Again  I believed, in you and me In all your words Of love and harmony When love began I gave you my hand There's still my bleeding heart"
"""Wait For Love""",Marie Digby,"Seven long days since I first saw you It felt so right, you felt it too But when I fell for you I should've thought this through Cause you're a thousand miles from my heart I can't stand that we're so far apart I don't know even what we are  So I wait for your touch And I wait for your kiss And I wait for the day that I'm here in your arms Should I wait for love? Should I wait for love? And when I'm awake I'm dreaming of you And when I'm asleep I'm thinking of you Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for three little words that we're so scared of [?]  Late at night, we're back on the phone again I'll see your face, but don't know when I jump right to the end Before it can begin, oh Ever after in this fairytale One look, I'm caught under your spell Will it last? Only time will tell  So I wait for your touch, and I wait for your kiss And I wait for the day that I'm here in your arms Should I wait for love? Should I wait for love? And when I'm awake I'm dreaming of you And when I'm asleep I'm thinking of you Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for three little words that we're so scared of [?]  When I think about the one I want to spend all the rest of my life The only one, the only one is you At the end of everyday I close my eyes, the one that I lay beside The only one that I see is you  So I wait for your touch, and I wait for your kiss And I wait for the day that I'm here in your arms Should I wait for love? Should I wait for love? And when I'm awake I'm dreaming of you And when I'm asleep I'm thinking of you Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for love? Should I wait for three little words that we're so scared of [?]"
"""I Want You To Want Me""",Gretchen Wilson,"I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me I want you to want me I need you to need me I'd love you to love me  I'll shine up the old brown shoes Put on a brand new shirt I'll get home early from work If you say that you love me  Didn't I, didn't I, didn't I see you crying? Oh, didn't I, didn't I, didn't I see you crying? Feeling all alone without a friend, you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying?  I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me  I'll shine up the old brown shoes Put on a brand-new shirt I'll get home early from work If you say that you love me  Didn't I, didn't I, didn't I see you crying? Oh, didn't I, didn't I, didn't I see you crying? Feeling all alone without a friend, you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying?  Feelin' all alone without a friend, you know you feel like dying Oh, didn't I, didn't I, didn't I see you crying?  I want you to want me I need you to need me I'd love you to love me I'm begging you to beg me I want you to want me I want you to want me I want you to want me I want you to want me"
"""Too Much Love Will Kill You""",Brian May,"I'm just the pieces of the man I used to be Too many bitter tears are raining down on me I'm far away from home And I've been facing this alone for much too long I feel like no-one ever told the truth to me About growing up and what a struggle it would be In my tangled state of mind I've been looking back to find where I went wrong  Too Much Love Will Kill You If you can't make up your mind Torn between the lover and the love you leave behind You're headed for disaster 'cos you never read the signs Too Much Love Will Kill You - every time.  I'm just the shadow of the man I used to be And it seems there's no way out of this for me I used to bring you Sunshine Now all I ever do is bring you down How would it be if you were standing in my shoes Can't you see that it's impossible to choose No there's no making sense of it Every way I go I have to lose  Too Much Love Will Kill You just as sure as none at all, It'll drain the power that's in you Make you plead and scream and crawl And the pain will make you crazy You're the victim of your crime Too Much Love Will Kill You - every time  Too Much Love Will Kill You It'll make your life a lie Yes, Too Much Love Will Kill You And you won't understand why You'd give your life you'd sell your soul But here it comes again Too Much Love Will Kill You In the end...... In the end."
"""Keep Walking""",Kendra Morris,"Keep walking, I see you Don't wanna, don't wanna hear you Always hanging round, wasting my time Well, I think you better go (leave)  I know that it gets lonely And I'm feeling a little rough Round my edges, I'm just worn and I'm tired  But the sleep you'll lose From what I gotta say to you I'm finally gonna tell the truth That I don't wanna be your love I don't wanna be your love Oh, I don't wanna be your love I don't wanna be your love I don't wanna be your love  Maybe there's a way that we Can get along, maybe there's a way We can find ourselves happy, still friends Maybe there's a way when you Are holding me I feel something Different, maybe we make amends Maybe in another world You're the only one I follow You lead me to someplace that's nice But maybe you're still maybe And mostly the probably Thing is that you don't fit right  You hear that? It's silence And it's louder than what you say But this path that I choose And what it's doing to me and to you And what I got to do I'm so sorry to say  But I don't wanna be your love (I think that you know and it is just the way) I don't wanna be your love (I couldn't have it always [?]) No, I don't wanna be your love ([?] I'd be better off alone) You could have told me what would be yesterday I shouldn't have stayed, the time has the only way Of making me feel right at home when everything is broken No, I failed you to be, I failed you to be I failed you to be that I can't be the only thing When it's all, when it's all, when it's all, when it's all wrong"
"""Love On The Line""",Gretchen Wilson,"Woke up cryin' with pictures of you in my head Lyin' next to the thing that you don't know I did I could tell on myself but I don't think that I have the nerve If I lose you I know that it's what I deserve  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  I could stop but the truth is I don't think I can It's not something I wanted, it's something I planned Boy, I love you, I need you, I want you to stay I keep my secrets to keep you from walking away  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  In a way I'm glad that my guilt keeps Fallin' on me like rain At the same time I can't help but wonderin' why I put your love on the line  Put your love on the line Put your love on the Put your love on the line"
"""Shit You Love""",Arizona Zervas,"Rolling through the city in that matte black whip Ah yeah! Ah yeah!  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love  Yeah she love it when I text call her baby She pull up and scoop me in the mercedes On the one oh one swerving going 80 She put on my song and started rocking to some AZ She love Gucci, Louis, Fenty and Givenchi But she still love me when I rock boots and a long tee She get new shit every week don't do laundry Cause daddy got the bucks like he was playing in Milwaukee Oh now, gotta slow down She just wants somebody she can hold down Going home now.Bout to go down But I don't mind riding all night with you  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love  Shopping on rodeo she like spending all her cash Ten for the Gucci another twenty for the bag Rolling up a Swisher she love pumping on the gas Always poppin Addy but she never go to class Wake up hit the gym yeah she do it everyday Modeling her body she got money on the way Barely got a heart but she pretty in the face Just as easy she don't want it yeah she do it for the chase Like Oh now, gotta slow down She just wants somebody she can hold down Going home now.Bout to go down But I don't mind riding all night with you  Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Rolling through the city in that matte black whip You already know I'm in that matte black fit Yeah I might just hit it when you pass that shit Cause that's that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love Yeah is that shit you love"
"""She""",Bobby Goldsboro,She is love Smilin' in the sunshine She is love Smilin' in the rain As helpless as a baby To make me feel a man But only just a step away If I should meet her hand  And she knows I will follow Wherever she may lead She is all I live for She is everything I need  She is love Wakin' in the morning She is love And she is life to me As fragile as a robin's egg When she lies asleep But she could break the strongest man If he could see her weep  But you will never see her cry As long as I'm around I'll give her only happy days And when the Sun goes down  She and I We'll fly away together She and I We will be as one
"""Love Me So""",Stereo Kicks,"[James:] Can we locate where we went wrong? It's driving me crazy It's tiring daily  [Reece:] And though she tries her best to stay strong I'm feeling so guilty Just wanna be guilt free  [Tom:] But, if you save me now You can brave the doubt You can pull me out 'Cos darling I have been  [All:] Crying on my bedroom floor, Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh  [Casey:] Will love heal all of this pain Maybe the scars but Not a broken heart 'cos  [James:] A heart in pieces ain't the same I told you, you have the ability to save  [Tom and James:] To save me now If you can brave the doubt You can pull me out 'Cos darling I have been  [All:] Crying on my bedroom floor Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh  [James:] I tried my best to understand What makes a man Is it the path where he began Or the one where he stands now, now  [Tom:] 'Cos I've been crying on my bedroom floor Wishing I was still in your arms Cos there I always seemed so sure [James:] That you love me That you love me so  [All:] Crying on my bedroom floor Wishing I was still in your arms There I always seemed so sure That you love me, that you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh That you love me so Hey hey hey hey hey That you love me so Oh oh oh oh oh"
"""Love Song (Interlude)""",Haley Smalls,After what I'm 'bout to say It will never be the same  All night Just you and I I just wanna feel your body I just want you to love me By candlelight I'd love you right Through the night You're whats on my mind So would you mind I don't bite All the signs Say you're mine Every time In your eyes I feel alive But at night I close my eyes And hope This comes out right I  And that's why I'm sending you this love song I wanna tell you how I feel because I'm falling I hope you're not too sick of love songs I wanna tell you how I feel but I don't  Oh How do I tell you this now baby Oh I'm more than just a friend now baby How do I How do I tell you this How do I How do I tell you this Oh I'm more than just a friend now baby
"""Love Token""",Brian May,"Mama's in love, Papa's in love It's such a shame they don't love each other papa's in a jam, Mama's throwin' pans The game's up - it's time to run for cover  Everybody's cryin' but they can't stop hopin' Everybody's lookin' for the door that's open Mama's making heat to keep the old fire smokin' Papa's hangin' on to his old love token.  You got love but you ain't got style You want your freedom but in a while You're lost children but you know for sure You gotta find out what your love is for.  (Oh baby life ain't what it used to be) (You're tellin' me - not since you 'been hangin' round here) (Mama what you screamin' for actin' like a demon for And hey mama quit wavin' them hands in the air) (Don't talk to me that way) (Well I don't see no reason to raise your voice to me) (You put fat in the fire you got meat for brains) (Well you don't give me comfort and a Man's gotta get it somewhere) (Ooh that's a shame) (Yeah, well......) Mama's hangin' on to every word that's spoken But Papa's hangin' onto his old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa  Long haired women gonna turn you to stone You can't beat 'em - cos you need 'em You gotta live - you gotta love Your love token's gotta fit like a glove  Listen to the story 'bout the dream that's broken You gotta keep a hold of your old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa No I don't wanna leave you alone But I'm gonna have to Babe"
